"BẢNG CHẤM ĐIỂM ĐỊNH KÌ
Đánh giá theo từng công trình, tổng hợp hàng tháng/quý",,,,,,
STT,NỘI DUNG,CHỈ SỐ,CƠ CẤU ĐIỂM,Thang điểm 10,GHI CHÚ,NGƯỜI CHẤM ĐIỂM
1,Chất lượng,,40%,,,Giám sát/Trưởng BU
,,Chất lượng sản xuất,20%,,,
,,Chất lượng hoàn thiện,20%,,,
2,Tiến độ,,20%,,,Giám sát/Trưởng BU
,,Tiến độ sản xuất,10%,,,
,,Tiến độ lắp đặt,10%,,,
3,Giá cả,,20%,,,Mua hàng/Trưởng BU
,,Giá theo hợp đồng,15%,,,
,,Giá hạng mục phát sinh,5%,,,
4,Tinh thần hợp tác,,15%,,,Trưởng BU
,,Hỗ trợ kĩ thuật,7%,,,
,,Hỗ trợ về tiến độ,4%,,,
,,Hỗ trợ về giá,4%,,,
5,Điểm thưởng,,5%,,,Theo cơ chế thưởng phạt
TỔNG,,,100%,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
