STT,TÊN CÔNG TY,NGƯỜI LIÊN HỆ,ĐIỆN THOẠI ,TRẠNG THÁI,PHÂN KHÚC,,," KCS
ĐIỂM/30 ",HẠNG MỤC, Doanh số tháng 5 , Doanh số tháng 6 , Doanh số tháng 7 , Doanh số tháng 8 , Doanh số tháng 9 , Doanh số tháng 10 , Doanh số tháng 11 , Doanh số tháng 12 , Doanh số tháng 1 ,GHI CHÚ
1,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THƯƠNG MẠI JFCO VIỆT NAM,Mr Lăng,962153713,ACTIVE,,STANDARD,PREMIUM,25,Thi công cải tạo,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
2,CÔNG TY CỔ PHẦN KIẾN TRÚC VÀ XÂY DỰNG HÀ THÀNH.,Mr Tuấn Anh,,ACTIVE,PREMIUM,,,24.5,Thi công xây mới,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
3,Công ty Cổ Phần Đầu Tư Và Xây Dựng Benco Việt Nam,Mr Tuyền,,ACTIVE,PREMIUM,STANDARD,,24.5,Thi công xây mới,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
4,CÔNG TY TNHH TƯ VẤN ĐẦU TƯ VÀ QUẢN LÝ DỰ ÁN HOÀNG HUY,Mr Khanh,966671081,ACTIVE,,STANDARD,,24.33,Thi công cải tạo,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
5,Công ty TNHH Kiến Trúc và Nội Thất Đại Bảo An,Bách,,ACTIVE,,PREMIUM,LITE,24,Thi công cải tạo,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
6,CÔNG TY TNHH XÂY DỰNG AN KHANG VIỆT,Anh Kha,904886862,ACTIVE,,STANDARD,LITE,23.33,Thi công cải tạo,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
7,CÔNG TY TNHH ĐẦU TƯ VÀ XÂY DỰNG ADC VIỆT NAM,Hoàng Anh,917798886,ACTIVE,,STANDARD,,21.8,Thi công cải tạo,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
8,CÔNG TY TNHH GIẢI PHÁP VÀ PHÁT TRIỂN PHƯƠNG KHANH,Mr. Cảnh,+84 989 430 836,PENDING,,,LITE,19.75,Thi công cải tạo,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
9,CÔNG TY XUÂN DŨNG,Mr Xuân Anh,968197111,ACTIVE,,,LITE,23,Thi công cải tạo,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
10,Công Ty Cổ Phần Xây Dựng Và Thương Mại CAPSULE  HOUSE,Mr Trung,919166123,ACTIVE,,,LITE,23,Thi công cải tạo,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
11,Công ty cổ phần LUSTRO Việt Nam,anh Sơn,0968.45.15.48,ACTIVE,PREMIUM,STANDARD,,25.5,Thi công nội thất,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
12,NỘI THẤT HD,Mr Dũng,,ACTIVE,PREMIUM,STANDARD,,25.17,Thi công nội thất,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
13,CÔNG TY TNHH NỘI THẤT TIẾN BỘ,anh Thành,,ACTIVE,PREMIUM,STANDARD,LITE,24.95,Thi công nội thất,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
14,CÔNG TY TNHH NỘI THẤT TRƯỜNG LONG SƠN TÂY,A Long,976554693,ACTIVE,,,LITE,24.33,Thi công nội thất,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
15,HÀ LÂM,Mr Long,,ACTIVE,PREMIUM,STANDARD,,24,Thi công nội thất,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
16,CÔNG TY TNHH HS GREEN,Anh Sơn,969983886,ACTIVE,PREMIUM,STANDARD,,23.88,Thi công nội thất,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","Tên công ty: CÔNG TY  TNHH HS GREEN
Văn phòng: Tầng 6 tòa nhà MD Complex (tòa VP) số 68 Nguyễn Cơ Thạch, phường Từ Liêm, Thành phố Hà Nội, Việt Nam
Nhà máy/Xưởng sản xuất:
Quy mô nhà máy: 1.000 m2
Phòng sơn: Có
Số lượng nhân công tại nhà máy:
15-17 người
Sản lượng có thể nhận 1 tháng: 800tr-1ty"
